Nittedal	MDG	2.3	287
Nittedal	Sp	2.2	282
Nittedal	R	0.8	104
Nittedal	Pp	0.3	42
Nittedal	Pirat	0.3	34
Nittedal	Krist	0.2	21
Nittedal	DLF	0.1	9
Nittedal	KrS	0.0	6
Nittedal	Dem	0.0	4
Nittedal	Samf	0.0	3
Nittedal	Kyst	0.0	1
Nittedal	Blanke	0.4	49
Oppegård	H	39.0	6241
Oppegård	Ap	25.3	4058
Oppegård	Frp	14.4	2313
Oppegård	V	7.5	1197
Oppegård	SV	4.1	656
Oppegård	KrF	4.0	637
Oppegård	MDG	3.2	505
Oppegård	Sp	0.8	133
Oppegård	R	0.6	94
Oppegård	Pirat	0.3	55
Oppegård	Pp	0.3	43
Oppegård	Krist	0.2	30
Oppegård	DLF	0.2	27
Oppegård	KrS	0.1	12
Oppegård	Kyst	0.1	10
Oppegård	Samf	0.0	3
Oppegård	Dem	0.0	1
Oppegård	Blanke	0.3	55
Rælingen	Ap	38.4	3485
Rælingen	H	26.9	2445
Rælingen	Frp	18.9	1712
Rælingen	V	4.0	360
Rælingen	KrF	3.3	302
Rælingen	SV	2.8	257
Rælingen	MDG	1.9	175
Rælingen	Sp	1.6	142
Rælingen	R	0.7	63
Rælingen	Krist	0.4	39
Rælingen	Pp	0.4	36
Rælingen	Pirat	0.3	31
Rælingen	KrS	0.1	12
Rælingen	DLF	0.1	9
Rælingen	Kyst	0.1	8
Rælingen	Dem	0.0	3
Rælingen	Samf	0.0	1
Rælingen	Blanke	0.4	38
Skedsmo	Ap	36.0	10009
Skedsmo	H	29.9	8310
Skedsmo	Frp	18.2	5060
Skedsmo	V	4.3	1186
Skedsmo	SV	3.1	857
Skedsmo	KrF	2.9	792
Skedsmo	MDG	2.0	543
Skedsmo	Sp	1.4	386
Skedsmo	R	0.8	225
Skedsmo	Pp	0.5	129
Skedsmo	Pirat	0.4	113
Skedsmo	Krist	0.2	53
Skedsmo	KrS	0.1	31
Skedsmo	Kyst	0.1	25
Skedsmo	Dem	0.1	23
Skedsmo	DLF	0.1	18
Skedsmo	Samf	0.0	7
Skedsmo	Blanke	0.3	93
Ski	H	32.4	5479
Ski	Ap	30.1	5098
Ski	Frp	16.4	2771
Ski	V	5.8	975
Ski	SV	4.3	725
Ski	KrF	3.7	625
Ski	MDG	2.9	487
Ski	Sp	2.1	347
Ski	R	0.9	151
Ski	Pp	0.7	122
Ski	Pirat	0.4	62
Ski	Krist	0.2	38
Ski	Dem	0.1	10
Ski	KrS	0.0	8
Ski	Samf	0.0	6
Ski	Kyst	0.0	5
Ski	DLF	0.0	3
Ski	Blanke	0.3	54
Sørum	Ap	34.2	3138
Sørum	H	26.5	2431
Sørum	Frp	17.6	1612
Sørum	Sp	6.7	611
Sørum	KrF	4.3	393
Sørum	V	4.2	388
Sørum	SV	3.1	287
Sørum	MDG	2.0	187
Sørum	R	0.5	43
Sørum	Krist	0.3	29
Sørum	Pp	0.3	23
Sørum	Pirat	0.2	19
Sørum	KrS	0.1	10
Sørum	DLF	0.1	5
Sørum	Dem	0.0	1
Sørum	Kyst	0.0	1
Sørum	Samf	0.0	1
Sørum	Blanke	0.6	51
Ullensaker	Ap	30.7	5115
Ullensaker	H	28.9	4801
Ullensaker	Frp	24.9	4142
Ullensaker	Sp	3.8	626
Ullensaker	V	3.5	587
Ullensaker	KrF	2.5	409
Ullensaker	SV	2.0	330
Ullensaker	MDG	1.7	283
Ullensaker	R	0.6	102
Ullensaker	Pirat	0.5	84
Ullensaker	Pp	0.4	70
Ullensaker	Krist	0.3	48
Ullensaker	KrS	0.1	17
Ullensaker	Kyst	0.1	10
Ullensaker	Dem	0.0	7
Ullensaker	DLF	0.0	5
Ullensaker	Samf	0.0	5
Ullensaker	Blanke	0.5	91
Vestby	H	31.8	2827
Vestby	Ap	28.3	2516
Vestby	Frp	18.1	1608
Vestby	V	5.0	441
Vestby	SV	4.6	407
Vestby	MDG	3.7	329
Vestby	Sp	3.3	293
Vestby	KrF	3.1	278
Vestby	R	0.8	71
Vestby	Pirat	0.4	36
Vestby	Krist	0.3	31
Vestby	Pp	0.3	28
Vestby	DLF	0.1	12
Vestby	Kyst	0.1	11
Vestby	Samf	0.1	7
Vestby	Dem	0.0	4
Vestby	KrS	0.0	0
Vestby	Blanke	0.4	36
Ås	Ap	27.4	2642
Ås	H	26.6	2560
Ås	Frp	15.4	1478
Ås	V	7.0	675
Ås	Sp	6.6	632
Ås	SV	6.1	583
Ås	MDG	4.9	475
Ås	KrF	3.8	366
Ås	R	1.0	99
Ås	Pirat	0.4	34
Ås	Krist	0.3	31
Ås	Pp	0.3	28
Ås	DLF	0.1	6
Ås	Samf	0.1	5
Ås	Dem	0.0	4
Ås	Kyst	0.0	4
Ås	KrS	0.0	3
Ås	Blanke	0.5	50
Arendal	Ap	31.3	7630
Arendal	H	25.4	6205
Arendal	Frp	19.2	4672
Arendal	KrF	8.4	2051
Arendal	V	5.0	1210
Arendal	SV	3.0	731
Arendal	Sp	2.5	607
Arendal	MDG	2.1	515
Arendal	Krist	1.1	266
Arendal	Pp	0.8	203
Arendal	R	0.6	150
Arendal	Pirat	0.4	86
Arendal	KrS	0.2	39
Arendal	Dem	0.0	12
